Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.46826171875,72.52858156247073,71.22325926076245,71.4765996590847,135480400
2020-01-03,71.76372528076172,72.52375386627762,71.53933722124737,71.69616734789946,146322800
2020-01-06,72.33556365966797,72.37416924858576,70.63454677653742,70.88547942287144,118387200
2020-01-07,71.99535369873047,72.60095990158051,71.77578859164102,72.34520436217124,108872000
2020-01-08,73.15351104736328,73.4551103351791,71.69859637747034,71.69859637747034,132079200
2020-01-09,74.70732879638672,74.90034933748393,73.8797423656215,74.13066759639553,170108400
2020-01-10,74.87623596191406,75.4408362602049,74.37437802964394,74.94138611501243,140644800
2020-01-13,76.47590637207031,76.50245093143005,75.07407383392189,75.1923057311866,121532000
2020-01-14,75.4432373046875,76.62309704687446,75.3201898237738,76.41318515734736,161954400
2020-01-15,75.11991119384766,76.12363416339696,74.68801909995545,75.24296601736016,121923600
2020-01-16,76.06090545654297,76.17189926714461,75.3008769215495,75.66279597280943,108829200
2020-01-17,76.90299224853516,76.90540003571786,76.00301736044453,76.30943957331336,137816400
2020-01-21,76.38179779052734,76.97292771965752,76.24426680790016,76.53138979411735,110843200
2020-01-22,76.65445709228516,77.20698153576836,76.56035460570881,76.86677674803076,101832400
2020-01-23,77.02361297607422,77.1032319252794,76.15982874124028,76.70753760258107,104472000
2020-01-24,76.80162048339844,78.01284003043101,76.61100775709045,77.26970295766732,146537600
2020-01-27,74.54325866699219,75.223660842835,73.56124993820636,74.81107521306389,161940000
2020-01-28,76.65203857421875,76.82334485387435,75.32500212699546,75.42392754574348,162234000
2020-01-29,78.25656127929688,79.1034543464979,77.54237630271076,78.28310584272509,216229200
2020-01-30,78.1431655883789,78.19624735599628,76.90781612011679,77.33970834921887,126743200
2020-01-31,74.67839813232422,77.85604407632879,74.38403693557139,77.43380507723946,199588400
2020-02-03,74.47328186035156,75.6386578310323,72.91944232393651,73.42130011057627,173788400
2020-02-04,76.93192291259766,77.1225356625265,75.67244439973094,76.07779194419663,136616400
2020-02-05,77.55928802490234,78.35792247585813,76.95608935419465,78.05873092816691,118826800
2020-02-06,78.46646118164062,78.4688763315637,77.27213272836197,77.82948747921107,105425600
2020-02-07,77.39989471435547,78.2149347676415,76.90893545307632,77.96582750464246,117684000
2020-02-10,77.76750946044922,77.76750946044922,75.90525344548281,75.9850613598187,109348800
2020-02-11,77.2983169555664,78.33586413946524,77.08065162389036,78.26331148915241,94323200
2020-02-12,79.13397216796875,79.13880655058661,77.74815764169257,77.74815764169257,113730400
2020-02-13,78.57048034667969,78.89698211544386,78.20286785946678,78.40602271140597,94747600
2020-02-14,78.58984375,78.8389511206317,78.08195285801816,78.5390494942835,80113600
2020-02-18,77.15079498291016,77.33218399932765,76.08906106405882,76.27045008047632,152531200
2020-02-19,78.26814270019531,78.49790505143669,77.39263964512776,77.39263964512776,93984000
2020-02-20,77.4651870727539,78.51724467318775,76.95971731481961,78.0287063254119,100566000
2020-02-21,75.7117691040039,77.50147989029539,75.09504942814512,77.05888657687778,129554000
2020-02-24,72.11543273925781,73.56654484289926,69.950861613102,71.8929330165793,222195200
2020-02-25,69.6727294921875,73.16749427483839,69.20112246255476,72.78537131530702,230673600
2020-02-26,70.77798461914062,72.04287320574078,69.29059633111234,69.2978515957081,198054800
2020-02-27,66.15135192871094,69.16966734254164,66.01591540828939,67.98459409848462,320605600
2020-02-28,66.11266326904297,67.3340203730767,62.00359989656375,62.21885173263986,426510000
2020-03-02,72.26780700683594,72.90387904877242,67.16714840245746,68.26999310714803,341397200
2020-03-03,69.97261810302734,73.52300347304629,69.12129439177312,73.44319556548463,319475600
2020-03-04,73.21826171875,73.3778849017667,70.89406787161629,71.69459728745565,219178400
2020-03-05,70.84326934814453,72.44674141627438,70.47807057837562,71.47207845059465,187572800
2020-03-06,69.90249633789062,70.33541356546097,68.01605333738418,68.20227675514613,226176800
2020-03-09,64.3737564086914,67.2566283985615,63.60708224588359,63.788471263695044,286744800
2020-03-10,69.01005554199219,69.27609424415243,65.14767842910632,67.02687337652254,285290000
2020-03-11,66.6133041381836,68.0136294855381,65.74989060302927,67.08733944027128,255598800
2020-03-12,60.0349235534668,65.30004285714023,59.9792986243362,61.8996041788163,418474000
2020-03-13,67.22757720947266,67.69919139672994,61.17644125371641,64.06415740401071,370732000
2020-03-16,58.578975677490234,62.65901412516802,58.044481123383505,58.51609179443726,322423600
2020-03-17,61.15470504760742,62.30349851090025,57.65752303606562,59.86079519838787,324056000
2020-03-18,59.65762710571289,60.46299463712357,57.3479399725011,57.98884992987561,300233600
2020-03-19,59.20053482055664,61.149861434253346,58.67571640074359,59.83176871542281,271857200
2020-03-20,55.44215774536133,60.905593927619734,55.142259915533515,59.780979833542105,401693200
2020-03-23,54.264339447021484,55.26318952393012,51.420160868327166,55.16161211294488,336752800
2020-03-24,59.70842742919922,59.904326973466,56.66592859765041,57.1641431646422,287531200
2020-03-25,59.37950897216797,62.45828415286656,59.08444921259577,60.644394003218935,303602000
2020-03-26,62.50422668457031,62.56226879829015,59.58265430542807,59.62135150815354,252087200
2020-03-27,59.91640853881836,61.88266255080022,59.749530088606896,61.12808558327173,204216800
2020-03-30,61.62631607055664,61.798032638117675,60.317895683529414,60.64198021312565,167976400
2020-03-31,61.50054168701172,63.483727291886396,60.946702246706586,61.81737089780695,197002000
2020-04-01,58.26456832885742,60.15343192722889,57.83407204839957,59.61652017243426,176218400
2020-04-02,59.23680114746094,59.290008876006624,57.29473012664799,58.12670149259704,165934000
2020-04-03,58.385494232177734,59.423037724427395,57.79537474123642,58.721668376231186,129880000
2020-04-06,63.47889709472656,63.63367854249636,60.31305518274137,60.68066757934002,201820400
2020-04-07,62.74365234375,65.71118062287962,62.639657772107334,65.49350795383168,202887200
2020-04-08,64.34957122802734,64.6639759139237,63.17900829152558,63.54419983698464,168895200
2020-04-09,64.81391906738281,65.31697539124775,64.0182312530311,64.98563931197687,161834800
2020-04-13,66.08604431152344,66.19488063962808,64.29149962285975,64.89129510661289,131022800
2020-04-14,69.42362976074219,69.71385518039764,67.24696125554331,67.71857571729868,194994800
2020-04-15,68.78997802734375,69.24949545432703,67.8709431733772,68.29901865238591,131154400
2020-04-16,69.33655548095703,69.7017543891835,68.28691861079514,69.50343396347523,157125200
2020-04-17,68.395751953125,69.39944379426973,66.95915028721262,68.85285583806908,215250000
2020-04-20,66.97608947753906,68.12488676722366,66.9567445601854,67.22278330341808,130015200
2020-04-21,64.90582275390625,67.05346978399236,64.19477725392538,66.81887303902265,180991600
2020-04-22,66.77536010742188,67.21069089484456,65.83213848084627,66.17314341524155,116862400
2020-04-23,66.51654815673828,68.14179371829223,66.47785095518503,66.71970292934046,124814400
2020-04-24,68.4368667602539,68.44654290771221,66.99300989791057,67.04138325446418,126161200
2020-04-27,68.4852294921875,68.81656552903699,67.7064658092128,68.1538860746012,117087600
2020-04-28,67.3751220703125,69.12854894429597,67.2832245167364,68.94715995733218,112004800
2020-04-29,69.58808898925781,70.05728252965069,68.65937805652075,68.86253288111276,137280800
2020-04-30,71.05611419677734,71.23266881272234,69.73802523358442,70.1274034083595,183064000
2020-05-01,69.91217041015625,72.31375937660403,69.13340655240944,69.23014589148127,240616800
2020-05-04,70.90135192871094,71.02953322733046,69.24708469755467,69.93636455572125,133568000
2020-05-05,71.96549224853516,72.79746385447393,71.21574945029819,71.36086215007607,147751200
2020-05-06,72.70795440673828,73.33918446648443,72.28229260413691,72.66683632686777,142333600
2020-05-07,73.46013641357422,73.80599044082199,73.0320609589904,73.33437600959047,115215200
2020-05-08,75.20861053466797,75.26196230929314,73.79237217273885,74.119757726088,133838400
2020-05-11,76.39201354980469,76.88672173137039,74.50773235583524,74.71629189963298,145946400
2020-05-12,75.51902770996094,77.52698329873076,75.39777433527503,77.07591689652548,162301200
2020-05-13,74.607177734375,76.61998759486177,73.53044749592581,75.6984577813938,200622400
2020-05-14,75.06551361083984,75.12614027584165,73.12303289595279,73.84570540703209,158929200
2020-05-15,74.62174224853516,74.66781911832467,72.80294181174233,72.83689630557373,166348400
2020-05-18,76.3799057006836,76.75336807886046,75.25467849728416,75.94582405017557,135178400
2020-05-19,75.93856048583984,77.24324046806854,75.90703342703199,76.39689435415646,101729600
2020-05-20,77.41541290283203,77.48573451404336,76.75821444789756,76.79701640617802,111504800
2020-05-21,76.83824920654297,77.81797834459402,76.60058997680626,77.27718574052247,102688800
2020-05-22,77.33296203613281,77.41541342276373,76.47448628011443,76.57633494565745,81803200
2020-05-26,76.80915832519531,78.63037881290926,76.75337911371359,78.45092620311642,125522000
2020-05-27,77.14381408691406,77.28931960837535,75.92643293881503,76.66608292261066,112945200
2020-05-28,77.17776489257812,78.43637538186252,76.54239845998111,76.81885227689466,133560800
2020-05-29,77.10260009765625,77.88104472738917,76.74611486335854,77.42028336215132,153532400
2020-06-01,78.0508041381836,78.17205752121612,76.9255691912965,77.05652491717301,80791200
2020-06-02,78.41209411621094,78.43634625974367,77.3426389726388,77.7840028225032,87642800
2020-06-03,78.84378051757812,79.10569190926654,78.15990981793529,78.73222950297175,104491200
2020-06-04,78.16474151611328,78.96501046306783,77.79127922053404,78.66673203409954,87560400
2020-06-05,80.3909683227539,80.45159499569716,78.38544064604918,78.41454026494723,137250400
2020-06-08,80.86629486083984,80.90024935653804,79.37730733642842,80.0878503032951,95654400
2020-06-09,83.41988372802734,83.81274342787988,80.51465797687612,80.54618503439575,147712400
2020-06-10,85.56605529785156,86.0340914097843,83.92913522287401,84.36807171758845,166651600
